Data Source,Gender Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,92.05723984,92.32279994,91.23463192,91.98899627,94.4512329,92.36810592,93.97946439,94.05290175,93.87079515,93.40816157,92.6129125,94.22206534,93.10153245,94.95695318,96.49889894,92.87616298,106.8518482,93.96809327,120.1189823,139.2750175,162.8910599,191.5353566,187.9355422,183.2182948,184.1655318,184.161621,182.2901393,177.9825418
Angola,AGO,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,113.6462574,115.0590188,112.9055549,114.0801336,117.8824229,120.6713109,118.3581118,119.4876139,118.1278274,115.7203321,116.0390089,117.0030528,116.9875652,117.0217733,115.7009289,113.5197675,111.7573769,109.400337,105.7292355,101.1603497,99.20569412,99.65249138,100.0349905,100.2158354,100.6993009,99.31322683,99.267644,99.42737191
Albania,ALB,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,81.6093912,82.31855162,86.06582373,87.94040992,88.70995477,88.70537749,86.36115075,86.95581775,88.70417863,88.53910674,88.65132727,88.73571441,88.81643214,89.14783485,89.48314917,89.76455776,90.04373095,101.521235,108.3143799,106.5117821,77.10368698,71.80523836,81.34896401,76.92398093,103.6349369,91.79787189,81.23743106,82.07989189
Andorra,AND,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,136.9338163,118.6959217,121.2457702,128.8610138,136.5279052,132.4555141,145.8627018,149.6940417,149.6364947,159.3862672,151.532422,135.8396813,135.4777113,154.9264544,157.9164368,172.3920813,182.2731413,188.5326705,215.7564857,224.9630449,195.6487849,186.7782026,184.5408803,181.6017871,174.9921384,180.2935782,176.590367,177.2434131
United Arab Emirates,ARE,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,127.614,106.8487212,103.419494,105.1657555,110.3323262,108.2318204,108.7882309,105.6229371,100.1552765,106.5180123,122.9019245,130.6239929,153.5003804,180.4911752,200.0297509,206.0812941,210.3698653,199.9304837,178.5839256,168.2514382,177.4410211,178.2151305,173.746552,170.3615787,165.8340775,170.9221164,206.9657825,200.7565198
Argentina,ARG,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,105.5780974,108.0711048,141.8653213,133.5116551,135.099686,125.5808957,137.6674415,123.5889984,118.7948519,120.7588367,106.2732115,101.5689968,128.6400668,132.7834976,131.8439138,147.156381,141.2726704,132.4476031,129.3308824,141.5771853,133.2511716,149.2712534,134.428023,130.753592,131.3351889,133.1156799,133.6390718,134.1245193
Armenia,ARM,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),SL.UEM.1524.FM.ZS,,138.7079559,127.3693934,147.2567692,125.6983941,183.5345353,212.6556809,209.5271073,164.8456264,141.716371,130.451447,121.0973482,113.5777338,106.5514055,97.83046027,91.68995737,86.20982335,80.84001952,103.185768,128.9351754,149.5088376,126.2481388,126.8584964,128.3345867,145.5710518,131.1630578,154.0002768,152.8908755,149.5865321
