Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,38.35535397,39.57059752,40.78584106,41.59148055,42.06012814,42.53416463,42.6301065,..
Belarus,BLR,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,46.04121475,45.61230527,44.12069221,43.85411533,42.24201571,42.03548913,..
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,..,..,22.03764821,22.2655222,22.49669789,22.56935351,22.58388464,..
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,45.89167687,45.67371202,44.7721252,43.85733157,44.61030544,..
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,70.84743662,67.41166305,63.97632831,62.10127266,60.99912383,59.89916917,59.6790894,..
Belize,BLZ,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.523893029,6.400701447,6.532222709,6.663743972,6.882946076,7.014467339,7.014467339,..
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,51.09081234,47.98687478,44.88293721,42.66583895,40.44874069,38.23164243,37.78822277,..
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.13125222,22.34835048,28.33451579,31.21674353,30.50727208,33.25647393,33.25647393,..
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,..
Bermuda,BMU,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.555555678,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,..
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,53.65045193,64.23015345,65.47738693,69.67101126,70.97332093,72.27562418,72.48453671,..
Bhutan,BTN,Agricultural land (% of land area),AG.LND.AGRI.ZS,9.716842219,14.1959799,13.31658291,15.55736306,13.64220706,13.7891225,13.60633424,..
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,57.96639897,56.71836056,55.47032216,54.21766824,51.88682729,50.55294009,50.28616265,..
Bolivia,BOL,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.72869934,33.78565494,34.28690114,34.11981907,34.63121942,34.76506969,34.78722422,..
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,43.1640625,42.91992188,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,..
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,42.48046875,41.6015625,42.12890625,41.875,42.5,43.14453125,..
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,24.20552997,23.16182309,22.11811621,21.07352708,20.02893794,19.12727401,18.94694088,..
Botswana,BWA,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.91428017,45.78194202,45.79076456,45.59755086,45.63195878,45.6330168,45.6330168,..
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,65.40988785,63.88855654,62.36722524,60.62760375,59.63743129,59.04878358,58.93105404,..
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.90690991,30.9245837,31.27561874,32.5948828,32.71816457,33.98878219,33.92453345,..
British Virgin Islands,VGB,Forest area (% of land area),AG.LND.FRST.ZS,24.73333359,24.60000038,24.46666718,24.40000057,24.26666737,24.13333257,24.13333257,..
British Virgin Islands,VGB,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.33333333,53.33333333,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,..
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,78.36812144,76.85009488,75.33206831,73.81404175,72.10626186,72.10626186,72.10626186,..
Brunei Darussalam,BRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.087286528,1.897533207,1.897533207,2.087286528,2.542694425,2.732447745,2.732447745,..
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,30.07321703,30.29015638,30.50709572,33.60640648,34.42336035,35.21554901,35.37398629,..
Bulgaria,BGR,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.67206002,55.71725572,50.45647654,48.46281296,46.53647752,46.16709564,46.25092115,..
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,25.0255848,23.93092105,22.83625731,21.74342105,20.64692982,19.55409357,19.33552703,..
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.99634503,34.53947368,35.70906433,40.09502924,44.15204678,44.2251462,44.2251462,..
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,11.25389408,9.482087227,7.710280374,7.048286604,9.852024922,10.74766355,10.92679151,..
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,82.16510903,79.32242991,72.70249221,70.83333333,71.37850467,79.16666667,79.16666667,..
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,14.33002481,17.34987548,20.36972614,20.74193458,21.11414301,22.30769269,22.54590586,..
Cabo Verde,CPV,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.87344913,17.36972705,17.617866,18.61042184,19.35483871,19.60297767,19.60297767,..
Cambodia,KHM,Forest area (% of land area),AG.LND.FRST.ZS,73.32880127,69.36891004,65.40901881,60.79197825,57.183322,53.57466576,52.8529323,..
Cambodia,KHM,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.23793338,25.88941763,27.02243372,30.34217086,30.90301382,30.90301382,30.90301382,..
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,51.43957183,49.11256373,46.78555563,44.45854752,42.13153942,39.80453132,39.3391297,..
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.39878572,19.37763111,19.37763111,19.48975059,20.51998054,20.62575363,20.62575363,..
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,38.29907264,38.27317504,38.24727745,38.22242456,38.19229318,38.16667052,38.16154667,..
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.452347883,7.477200773,7.43530276,7.430464144,6.957555615,6.890210625,6.891838245,..
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,..
Cayman Islands,CYM,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,..
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,36.21304055,36.08783589,35.96263122,35.83742656,35.7122219,35.58701724,35.56197693,..
Central African Republic,CAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.035570965,8.041991717,8.265112845,8.371055251,8.154354875,8.154354875,8.154354875,..
Chad,TCD,Forest area (% of land area),AG.LND.FRST.ZS,5.324809403,5.174317027,5.023824651,4.876905972,4.374205845,3.871505718,3.770965615,..
Chad,TCD,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.35768742,38.47681067,38.61975858,39.33449809,39.33846887,39.65613088,39.65613088,..
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,..
Channel Islands,CHI,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.92929458,42.42424213,39.89899192,38.38383938,45.95959966,46.46464729,46.46464729,..
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,20.52769667,20.91167475,21.29565282,21.57539867,21.82959081,23.8523685,24.25692509,..
Chile,CHL,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.3830734,20.61780711,20.32192208,21.36424435,21.17326401,21.22975116,21.17164983,..
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,16.73800695,17.79572602,18.85346743,20.56237213,21.36831943,22.18966865,22.35394181,..
China,CHN,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.86456475,55.69020391,55.60191389,55.11518135,54.80809776,56.22295728,56.2123131,..
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,58.05948626,56.87942204,55.69936134,54.25990029,52.84841849,52.72802008,52.70393829,..
Colombia,COL,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.63361875,40.11987382,40.431726,38.35691753,38.30824696,40.25741466,40.25741466,..
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,26.32992928,25.25523829,24.1805473,22.56851081,20.95647433,19.88178334,19.66684432,..
Comoros,COM,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.25738649,65.55615046,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,..
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,70.73641958,70.04962396,69.36282835,68.67603273,67.98923711,67.3024415,67.16507962,..
"Congo, Dem. Rep.",COD,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.45100461,11.38042831,11.29220794,11.27015284,11.36498974,11.55686906,11.55686906,..
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,66.54758419,66.29868228,66.04978038,65.80087848,65.62518302,65.39970717,65.35461086,..
"Congo, Rep.",COG,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.80819912,30.80527086,30.86383602,30.88433382,30.96925329,31.11859444,31.11859444,..
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,50.21543282,48.37446142,46.53349001,48.78574226,51.01840971,53.97571485,54.56717492,..
Costa Rica,CRI,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.14296906,40.10967489,36.03603604,35.35056796,35.62475519,34.8609479,34.45945946,..
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,32.14465409,32.31132075,32.47798742,32.72012579,32.71383648,32.70754717,32.70628808,..
Cote d'Ivoire,CIV,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.52830189,62.26415094,61.63522013,63.52201258,64.77987421,64.77987421,64.77987421,..
Croatia,HRV,Forest area (% of land area),AG.LND.FRST.ZS,33.08889286,33.4018959,33.71489894,34.00643317,34.31022159,34.3459614,34.3531098,..
Croatia,HRV,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,41.7098909,20.90860311,21.64045747,23.83488293,27.47676868,27.59113653,..
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,19.16201117,20.91713222,22.67225326,25.33821871,27.54603533,30.76331475,31.27860121,..
Cuba,CUB,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.76536313,62.23463687,61.02420857,62.35437805,60.70274516,59.99134594,59.86060561,..
Curacao,CUW,Forest area (% of land area),AG.LND.FRST.ZS,..,..,..,..,..,..,..,..
Curacao,CUW,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,..,..,..,..,..
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,17.43614725,18.00432907,18.57251089,18.70671062,18.70562731,18.69047586,18.68722924,..
Cyprus,CYP,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.38095304,15.48701365,15.31385281,18.07359307,12.39177489,13.79978378,12.15692661,..
Czech Republic,CZE,Forest area (% of land area),AG.LND.FRST.ZS,34.02355377,34.07532031,34.12708684,34.2609371,34.39927499,34.54215775,34.56358456,..
Czech Republic,CZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,55.39019024,55.39019024,55.1384934,54.81615743,45.25320554,45.18259518,..
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,12.81434329,13.30073004,13.79919868,13.14400217,13.83690727,14.57966211,14.6992134,..
Denmark,DNK,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.77022883,64.24699505,62.38510488,63.79919868,61.89017205,62.18147178,62.01476542,..
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,..
Djibouti,DJI,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.03968939,62.59706644,69.06816221,73.38222606,73.40810939,73.4253667,73.4253667,..
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,66.66666667,64.8799998,63.10666911,61.32000224,59.54666646,57.77333577,57.41333516,..
Dominica,DMA,Agricultural land (% of land area),AG.LND.AGRI.ZS,24,22.66666667,28,29.33333333,33.33333333,33.33333333,33.33333333,..
Dominican Republic,DOM,Forest area (% of land area),AG.LND.FRST.ZS,22.87311116,26.81639412,30.75967709,34.19581867,37.61126061,41.04740219,41.7346295,..
Dominican Republic,DOM,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.70130408,53.32229352,52.05961499,50.03104947,49.61705651,48.68557235,48.68557235,..
Ecuador,ECU,Forest area (% of land area),AG.LND.FRST.ZS,52.84947843,51.22048795,55.27830537,53.69318825,52.1080672,50.52295008,50.20595261,..
Ecuador,ECU,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.34128016,29.28767519,32.47704944,30.19809953,30.18883957,23.30649018,22.2096956,..
"Egypt, Arab Rep.",EGY,Forest area (% of land area),AG.LND.FRST.ZS,0.044201115,0.051735396,0.059269677,0.067306243,0.070319956,0.073333668,0.073936409,..
"Egypt, Arab Rep.",EGY,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.660103471,3.298005927,3.306042493,3.539102918,3.687779396,3.807192845,3.750836325,..
El Salvador,SLV,Forest area (% of land area),AG.LND.FRST.ZS,18.19498069,17.10907336,16.02316602,14.91312741,13.85135135,12.78957529,12.57722037,..
El Salvador,SLV,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.05019305,70.22200772,72.39382239,75.53088803,74.08301158,75.53088803,76.44787645,..
Equatorial Guinea,GNQ,Forest area (% of land area),AG.LND.FRST.ZS,66.31016043,64.22459893,62.13903743,60.07130125,57.96791444,55.90017825,55.48663189,..
Equatorial Guinea,GNQ,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.90730838,11.90730838,11.90730838,11.55080214,10.48128342,10.12477718,10.12477718,..
Eritrea,ERI,Forest area (% of land area),AG.LND.FRST.ZS,16.04950495,15.82673267,15.6039604,15.38613861,15.16831683,14.95049505,14.90693045,..
Eritrea,ERI,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,73.33663366,74.55445545,74.47524752,75.16831683,75.16831683,75.16831683,..
Estonia,EST,Forest area (% of land area),AG.LND.FRST.ZS,52.04057561,52.47699929,52.91342298,53.1257372,52.70110875,51.34575569,51.33655619,..
Estonia,EST,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,23.37815523,23.26020288,20.80443558,22.38263713,22.84334023,23.07338394,..
Eswatini,SWZ,Forest area (% of land area),AG.LND.FRST.ZS,27.44186047,28.77906977,30.11627907,31.45348837,32.73255814,34.06976744,34.33720788,..
Eswatini,SWZ,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.97674419,71.04651163,71.10465116,71.1627907,71.04651163,71.04651163,71.04651163,..
Ethiopia,ETH,Forest area (% of land area),AG.LND.FRST.ZS,..,14.4095,13.705,13,12.296,12.499,12.53959961,..
Ethiopia,ETH,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,30.5,30.662,33.591,35.683,36.259,36.259,..
Faroe Islands,FRO,Forest area (% of land area),AG.LND.FRST.ZS,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,..
Faroe Islands,FRO,Agricultural land (% of land area),AG.LND.AGRI.ZS,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,..
Fiji,FJI,Forest area (% of land area),AG.LND.FRST.ZS,52.15654211,52.91023442,53.66393007,54.58456539,54.34592361,55.67597221,55.94198126,..
Fiji,FJI,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.44116037,24.0831965,23.42638205,23.42638205,23.26217843,23.26217843,23.26217843,..
Finland,FIN,Forest area (% of land area),AG.LND.FRST.ZS,71.81785351,72.75353754,73.68922158,72.69772481,73.10957552,73.10716989,73.10716989,..
Finland,FIN,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.856462786,7.367280607,7.281919958,7.465117203,7.541625213,7.480503775,7.485768813,..
France,FRA,Forest area (% of land area),AG.LND.FRST.ZS,26.36394442,27.14284593,27.92169765,28.9668477,29.99505117,31.02690723,31.23327844,..
France,FRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.87052503,55.06221781,54.43607963,53.67550923,52.82792694,52.46376323,52.44754417,..
French Polynesia,PYF,Forest area (% of land area),AG.LND.FRST.ZS,15.0273224,21.8579235,28.68852459,35.51912568,42.34972678,42.34972678,42.34972678,..
French Polynesia,PYF,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.74863388,11.74863388,11.74863388,12.29508197,12.15846995,12.43169399,12.43169399,..
Gabon,GAB,Forest area (% of land area),AG.LND.FRST.ZS,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,89.26145845,90.03764505,..
Gabon,GAB,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.01397136,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,..
"Gambia, The",GMB,Forest area (% of land area),AG.LND.FRST.ZS,43.67588933,44.61462451,45.55335968,46.54150198,47.43083004,48.22134387,48.37944724,..
"Gambia, The",GMB,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.90513834,55.03952569,54.54545455,52.07509881,60.77075099,59.7826087,59.7826087,..
Georgia,GEO,Forest area (% of land area),AG.LND.FRST.ZS,39.60282055,39.66685784,39.72658077,39.89782703,40.61591455,40.61591455,40.61591455,..
Georgia,GEO,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,43.86242625,43.17167938,36.26421068,35.40077709,34.79781404,34.45100014,..
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,32.36616733,32.44629046,32.53761284,32.64135795,32.73087185,32.73242345,32.69120678,..
Germany,DEU,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.64838312,49.67917502,48.91245164,48.83300837,47.91003242,47.9592063,47.67861232,..
Ghana,GHA,Forest area (% of land area),AG.LND.FRST.ZS,37.91421289,38.53388415,39.15355542,39.78641118,40.41047728,41.03454338,41.15935831,..
Ghana,GHA,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.3968533,57.57229498,63.41742111,66.36195834,68.64727081,68.99885734,68.99885734,..
Gibraltar,GIB,Forest area (% of land area),AG.LND.FRST.ZS,0,0,0,0,0,0,0,..
Gibraltar,GIB,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,..,..,..,..,..,..
Greece,GRC,Forest area (% of land area),AG.LND.FRST.ZS,25.59348332,26.76493406,27.93638479,29.10783553,30.27928627,31.45073701,31.68502677,..
Greece,GRC,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.54383243,71.09387122,66.16757176,62.10240497,58.09930178,48.09154383,47.60279286,..
Greenland,GRL,Forest area (% of land area),AG.LND.FRST.ZS,0.00064384,0.00064384,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,..
Greenland,GRL,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.693005569,0.697395385,0.584236821,0.587891346,0.591545872,0.592276784,0.592301134,..
Grenada,GRD,Forest area (% of land area),AG.LND.FRST.ZS,49.97058756,49.97058756,49.97058756,49.97058756,49.97058756,49.97058756,49.97058756,..
Grenada,GRD,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.23529412,32.35294118,35.29411765,20.58823529,23.52941176,23.52941176,23.52941176,..
Guam,GUM,Forest area (% of land area),AG.LND.FRST.ZS,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,..
Guam,GUM,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.03703704,37.03703704,37.03703704,37.03703704,33.33333333,33.33333333,33.33333333,..
Guatemala,GTM,Forest area (% of land area),AG.LND.FRST.ZS,44.30757745,41.78798059,39.26838373,36.74878686,34.73310937,33.03471445,32.69503637,..
Guatemala,GTM,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.98693542,42.10526316,41.66666667,42.57185517,36.9734983,35.98357596,35.98357596,..
Guinea,GIN,Forest area (% of land area),AG.LND.FRST.ZS,29.56210321,28.8295621,28.097021,27.3644799,26.63193879,25.89939769,25.75288947,..
Guinea,GIN,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.54924304,57.07309132,54.89581638,57.46784958,58.19632102,59.01025558,59.01025558,..
Guinea-Bissau,GNB,Forest area (% of land area),AG.LND.FRST.ZS,78.80512091,77.09815078,75.39118065,73.68421053,71.90611664,70.12802276,69.77240398,..
Guinea-Bissau,GNB,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.45803698,52.84495021,57.89473684,57.25462304,57.9658606,57.9658606,57.9658606,..
Guyana,GUY,Forest area (% of land area),AG.LND.FRST.ZS,84.63296927,84.53644907,84.43992888,84.33832868,84.20624841,83.9522479,83.9014478,..
Guyana,GUY,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.798577597,8.808737617,8.676657353,8.524257049,8.524257049,8.58521717,8.636017272,..
Haiti,HTI,Forest area (% of land area),AG.LND.FRST.ZS,4.208998549,4.082002903,3.955007257,3.809869376,3.664731495,3.519593614,3.490565927,..
Haiti,HTI,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.94629898,57.69230769,61.32075472,60.59506531,67.85195936,66.76342525,66.76342525,..
Honduras,HND,Forest area (% of land area),AG.LND.FRST.ZS,72.71427295,64.92090446,57.12753597,51.76512646,46.40271695,41.04030744,39.96782554,..
Honduras,HND,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.67199929,31.10197515,26.23111985,28.15264992,28.86763786,28.9123246,28.9123246,..
"Hong Kong SAR, China",HKG,Forest area (% of land area),AG.LND.FRST.ZS,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,Agricultural land (% of land area),AG.LND.AGRI.ZS,8.080808081,7.619047619,6.666666667,6.666666667,5.238095238,4.857142766,4.761904762,..
Hungary,HUN,Forest area (% of land area),AG.LND.FRST.ZS,20.04005786,20.68773648,21.39031466,22.12922665,22.60024301,22.85430244,22.90511541,..
Hungary,HUN,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.03738734,68.76251947,65.32024102,65.42796563,59.01910969,58.14647078,58.35634596,..
